         963172 function calls (949932 primitive calls) in 4.794 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      219    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:74(__new__)
       85    0.000    0.000    0.001    0.000 C:\Users\storm\AppData\Local\Programs\Python\Python312\Lib\tkinter\__init__.py:1588(_register)
      850    0.000    0.000    0.001    0.000 G:\マイドライブ\staff_manegement_project\.venv\Lib\site-packages\matplotlib\colors.py:216(_is_nth_color)
      174    0.000    0.000    0.000    0.000 {built-in method nt._path_splitroot}
        1    0.000    0.000    0.028    0.028 G:\マイドライブ\staff_manegement_project\.venv\Lib\site-packages\pyparsing\core.py:1(<module>)
      372    0.000    0.000    0.000    0.000 C:\Users\storm\AppData\Local\Programs\Python\Python312\Lib\functools.py:65(wraps)
      206    0.000    0.000    0.072    0.000 <frozen importlib._bootstrap_external>:150(_path_is_mode_type)
        1    0.000    0.000    0.000    0.000 C:\Users\storm\AppData\Local\Programs\Python\Python312\Lib\html\entities.py:1(<module>)
      474    0.000    0.000    0.001    0.000 G:\マイドライブ\staff_manegement_project\.venv\Lib\site-packages\matplotlib\__init__.py:754(__getitem__)
        1    0.000    0.000    0.737    0.737 G:\マイドライブ\staff_manegement_project\.venv\Lib\site-packages\matplotlib\pyplot.py:1(<module>)
      219    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:79(__init__)
      918    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:134(<genexpr>)
      130    0.000    0.000    0.000    0.000 G:\マイドライブ\staff_manegement_project\.venv\Lib\site-packages\numpy\core\numeric.py:274(full)
      153    0.000    0.000    0.045    0.000 <frozen importlib._bootstrap_external>:1202(path_stats)
      419    0.000    0.000    0.000    0.000 G:\マイドライブ\staff_manegement_project\.venv\Lib\site-packages\numpy\lib\function_base.py:348(iterable)
     2075    0.000    0.000    0.000    0.000 {built-in method builtins.chr}
     1238    0.000    0.000    0.000    0.000 {method 'items' of 'dict' objects}
       10    0.000    0.000    0.002    0.000 C:\Users\storm\AppData\Local\Programs\Python\Python312\Lib\typing.py:2758(__new__)
      182    0.000    0.000    0.000    0.000 C:\Users\storm\AppData\Local\Programs\Python\Python312\Lib\re\_parser.py:372(_escape)
     1275    0.000    0.000    0.004    0.000 <frozen abc>:117(__instancecheck__)
      767    0.000    0.000    0.000    0.000 {built-in method builtins.iter}
       63    0.000    0.000    0.001    0.000 C:\Users\storm\AppData\Local\Programs\Python\Python312\Lib\inspect.py:3279(__str__)
     1765    0.000    0.000    0.000    0.000 {built-in method builtins.issubclass}
      216    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:67(_relax_case)
       67    0.000    0.000    0.001    0.000 G:\マイドライブ\staff_manegement_project\.venv\Lib\site-packages\pyparsing\core.py:3909(__init__)
      206    0.000    0.000    0.000    0.000 C:\Users\storm\AppData\Local\Programs\Python\Python312\Lib\tkinter\__init__.py:62(_stringify)
      301    0.000    0.000    0.000    0.000 <frozen ntpath>:179(splitroot)
